# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        7.762       13.109
       0.501        4.000       14.621       93.070
       1.002        0.000       14.621       93.070
       1.503        0.000       14.621       93.070
       2.004        0.000       14.621       93.070
       2.504        0.000       14.621       93.070
       3.006        0.000       14.621       93.070
       3.507        0.000       14.621       93.070
       4.008        0.000       14.621       93.070
       4.509        0.000       14.621       93.070
       5.010        0.000       14.621       93.070
       5.511        0.000       14.621       93.070
       6.012        0.000       14.621       93.070
       6.513        0.000       14.621       93.070
       7.014        0.000       14.621       93.070
       7.515        0.000       14.621       93.070
       8.016        0.000       14.621       93.070
       8.517        0.000       14.621       93.070
       9.018        0.000       14.621       93.070
       9.519        0.000       14.621       93.070
